,Baylor,BYU,Cincinnati,Houston,Iowa State,Kansas,Kansas State,Oklahoma,Oklahoma State,TCU,Texas,Texas Tech,UCF,West Virginia
Baylor,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BYU,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Cincinnati,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Houston,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Iowa State,1,1,1,0,0,0,1,0,1,1,0,0,0,0
Kansas,0,1,1,0,1,0,0,1,0,0,0,0,1,0
Kansas State,1,0,0,1,0,1,0,0,0,1,0,1,1,0
Oklahoma,0,1,1,0,1,0,0,0,0,1,1,0,1,1
Oklahoma State,0,1,1,1,0,1,1,1,0,0,0,0,0,1
TCU,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Texas,1,1,0,1,1,1,1,0,0,1,0,1,0,0
Texas Tech,1,0,0,1,0,1,0,0,0,1,0,0,1,0
UCF,0,0,1,1,0,0,0,0,1,0,0,0,0,0
West Virginia,1,1,1,0,0,0,0,0,0,1,0,1,1,0
